,Unnamed: 0,surface_x,surface_y,bh_x,bh_y,standardized_operator_name,true_vertical_depth,pad_id,frac_type,horizontal_midpoint_x,horizontal_midpoint_y,horizontal_toe_x,horizontal_toe_y
15,15,1377550.655,702118.4154,1376922.825,697594.6997,1349,8624.015748,106368,Primary Frac,1377183.555,699739.4783,1376760.782,697621.6015
16,16,1375960.479,702338.9719,1375313.0980000002,697858.151,1349,8615.15748,102446,Primary Frac,1375574.975,699967.1585,1375163.738,697883.8492
17,17,1377352.176,707536.4878,1376359.294,703062.3127,1022,8624.015748,101023,Primary Frac,1375027.144,699665.1543,1374601.89,698249.0637
18,18,1379795.783,697164.3235,1380437.342,701732.1434,1349,8629.92126,100221,Primary Frac,1380219.9619999998,699615.0431,1380604.2,701703.3509
19,19,1375260.279,702533.1604,1374602.008,697951.5423,1008,8617.125984,114355,Primary Frac,1374779.66,699937.8923,1374434.7969999998,697981.9136
20,20,1373273.164,698096.9514,1373922.9330000002,702670.6834,1008,8691.929134,106080,Primary Frac,1373718.748,700652.692,1374087.029,702642.9174
21,21,1374456.74,691873.4428,1378985.749,691220.2255,1349,8555.11811,106030,Primary Frac,1376913.871,691425.6657,1378944.957,691068.333
22,22,1385671.63,717128.0484,1384747.924,712455.8676,1121,8705.708661,107996,Primary Frac,1384833.774,714584.8294,1384581.136,712495.3708
25,25,1374463.494,697221.5403,1373821.8080000002,692724.3017,1349,8588.582677,100770,Primary Frac,1374036.872,694792.7270000001,1373662.483,692747.4326
26,26,1362967.634,667585.4858,1363616.117,672129.1997,1008,8899.606299,100514,Primary Frac,1363442.8069999998,670214.6984,1363777.832,672100.8183
27,27,1381088.851,696847.4517,1381201.34,701572.1303,1121,8682.086614,100306,Primary Frac,1381199.763,699458.9261,1381373.915,701563.4216
28,28,1382259.1409999998,696851.9708,1382619.9109999998,701385.6734,1197,8628.937007999999,100596,Primary Frac,1382693.895,699294.4254,1382946.544,701346.6159999999
30,30,1362350.494,665615.9808,1361529.6619999998,662429.6587,1008,8462.598425,104572,Primary Frac,1361668.12,663816.1883,1361449.554,662482.5939
31,31,1361167.408,667161.8404,1360665.3080000002,665891.7333,1008,8517.716535,104301,Primary Frac,1360740.112,666326.7107,1360666.623,665907.6808
33,33,1388777.074,705784.0975,1388109.905,701298.4776,1022,8581.692912999999,103342,Primary Frac,1388200.114,703261.4565,1387730.701,701391.2048
34,34,1373436.013,692064.0498,1372852.378,688168.929,1349,8522.637795,111194,Primary Frac,1373039.189,689858.0783,1372711.002,688192.7211
35,35,1384890.551,706581.9752,1384198.1730000002,701947.6437,1025,8605.314961,106759,Primary Frac,1384374.825,704256.054,1383892.8909999998,702156.9475
36,36,1378718.8390000002,689343.7685,1374142.955,690003.4872,1349,8572.834646,114700,Primary Frac,1376239.914,689822.5135,1374165.801,690169.7633
37,37,1360633.121,665564.6931,1360214.853,662621.1744,1008,8426.181102,104512,Primary Frac,1360290.0869999998,663799.8214,1360097.996,662640.6411
38,38,1364804.011,677171.8903,1365129.129,673164.0769,1008,8911.417323,114578,Primary Frac,1365192.397,674819.4855,1364840.846,673151.4766
39,39,1389082.076,716751.1858,1388363.949,712000.1298,1025,8718.503937000001,103846,Primary Frac,1388472.582,714057.1949,1388020.595,712067.286
40,40,1384513.136,693815.5051,1385406.625,701020.0443,1349,8661.417323,105943,Primary Frac,1385262.113,697706.7998,1385924.167,700930.6147
41,41,1383205.236,694004.2745,1384069.065,701207.1882,1349,8661.417323,105741,Primary Frac,1383961.7969999998,697802.6285,1384586.811,701122.1357
42,42,1369637.316,703429.6463,1369354.001,698693.9099,1121,8604.330709,113278,Primary Frac,1369389.284,700739.5103,1369185.252,698708.7834
43,43,1372642.428,702896.07,1371941.406,698298.5673,1008,8614.173228,109411,Primary Frac,1372168.884,700358.1154,1371789.704,698345.4924
44,44,1390002.907,705866.9511,1389203.35,701152.7932,1349,8544.291339,115615,Primary Frac,1389412.2759999998,703318.2815,1388865.559,701225.0327
45,45,1386198.38,706392.7193,1385511.133,701717.5512,1025,8627.952756,112399,Primary Frac,1385607.481,703758.0864,1385177.981,701781.9571
47,47,1600425.468,719084.1058,1605286.44,718494.4414,1050,4128.937008,106611,Primary Frac,1603099.285,718524.695,1605234.586,718067.9958
48,48,1600422.386,719062.9967,1605083.147,717480.198,1261,4810.325382999999,106611,Primary Frac,1602548.739,718340.8853,1605083.147,717480.198
50,50,1529836.711,617902.7071,1530234.921,621259.2797,1030,8253.937007999999,101857,Primary Frac,1530201.407,619991.1802,1530355.0180000002,621240.5598
51,51,1471695.4,606664.2142,1471427.6530000002,610704.7877,1030,7674.212598,102628,Primary Frac,1471589.101,609098.6608,1471574.355,610707.3337
52,52,1358144.2769999998,624852.9755,1357745.23,621553.764,1008,2973.425197,102509,Primary Frac,1357788.93,622938.573,1357507.72,621593.953
53,53,1403729.834,635102.2169,1404409.987,639635.2997,1008,2950.787402,108941,Primary Frac,1404286.165,637631.9966,1404716.512,639573.2427
61,61,1360789.8280000002,637237.193,1365924.58,636551.6884,1008,3169.291339,102426,Primary Frac,1363579.738,636676.4235,1365858.921,636133.5495
63,63,1360161.4740000002,630580.6542,1359724.533,630714.1264,1008,2994.094488,113139,Primary Frac,1360175.908,630576.2453,1359724.533,630714.1264
64,64,1360203.833,631807.9216,1355216.064,632595.6152,1008,3008.858268,100021,Primary Frac,1357950.496,632163.7801,1355216.064,632595.6152
65,65,1367110.3390000002,640534.3943,1361665.971,641060.18,1008,3241.141732,107256,Primary Frac,1364623.9219999998,640774.5181,1361665.971,641060.18
66,66,1366880.129,641626.8941,1361614.059,642474.4799,1008,3267.716535,105251,Primary Frac,1363828.7219999998,642367.9004,1361698.513,642852.1337
67,67,1612440.1519999998,582495.9905,1607723.986,583152.4511,1066,6778.543306999999,113399,Primary Frac,1610282.0359999998,582796.3866,1607723.986,583152.4511
68,68,1354502.2769999998,634064.043,1360365.32,633303.3186,1008,3166.338583,110885,Primary Frac,1357886.461,633372.4144,1360292.38,632881.0209
69,69,1366108.374,630434.2771,1360084.909,631282.5729,1008,3117.125984,115807,Primary Frac,1362748.045,631163.545,1360165.525,631713.7277
70,70,1365869.576,627800.7382,1359705.9219999998,628671.6055,1008,3078.740157,112976,Primary Frac,1362473.189,628517.345,1359780.986,629094.2143
75,75,1366234.3590000002,633074.6131,1360461.792,633903.1353,1008,3206.692913,112215,Primary Frac,1362954.748,633743.5409,1360533.252,634274.418
76,76,1361110.969,634510.9711,1355358.227,635271.7058,1008,3070.8661420000003,115559,Primary Frac,1358469.418,634860.2861,1355358.227,635271.7058
77,77,1361297.492,635819.9542,1355548.383,636580.3983,1008,3088.582677,108698,Primary Frac,1358657.757,636169.1163,1355548.383,636580.3983
79,79,1367293.531,648229.596,1373073.898,647480.9914,1008,3402.3754310000004,117397,Primary Frac,1369948.812,647885.7155,1373073.898,647480.9914
80,80,1361489.4019999998,637140.5646,1355729.511,637902.7747,1008,3149.422675,102112,Primary Frac,1358844.273,637490.5961,1355729.511,637902.7747
81,81,1360548.904,638616.4515,1366316.727,637728.9292,1008,3184.855746,111510,Primary Frac,1363198.706,638208.7138,1366316.727,637728.9292
82,82,1361232.7759999998,643796.3656,1367076.872,642928.0373,1008,3322.651022,114787,Primary Frac,1363916.631,643397.5927,1367076.872,642928.0373
83,83,1361468.407,645163.462,1367278.136,644234.731,1008,3130.721888,106509,Primary Frac,1364135.483,644737.1089,1367278.136,644234.731
85,85,1164427.782,684558.5478,1161212.086,691725.0225,1316,6915.3543310000005,102275,Primary Frac,1162967.547,688632.7376,1161735.813,691935.7335
87,87,1146675.315,715491.5849,1151793.882,706145.9333,1316,9259.84252,104203,Primary Frac,1147157.235,720456.0492,1147697.73,724390.1102
88,88,1101780.762,665417.0492,1098835.923,666029.6959,1025,6553.149606,112413,Primary Frac,1099932.5359999998,665936.3281,1098889.321,666240.6177
91,91,1180408.74,503581.2216,1180943.265,508015.9131,1121,2674.212598,105428,Primary Frac,1180917.869,506167.2163,1181259.542,507963.6228
95,95,1252971.4009999998,631799.1014,1251874.676,631634.6164,1349,7583.661417,117703,Primary Frac,1251997.008,631805.0402,1251303.181,631832.0021
96,96,1240579.435,649432.2052,1237731.444,650058.5932,1349,7895.669290999999,106445,Primary Frac,1238803.338,649818.2431,1237755.048,650162.8289
110,110,1319412.6409999998,590027.0667,1318719.3490000002,585420.159,1022,6380.905511999999,113366,Primary Frac,1319264.371,588028.0716,1319101.877,586565.5757
111,111,1057707.037,699695.1418,1060252.869,700919.2609999999,1270,5097.440945,115290,Primary Frac,1059239.824,699433.4617,1060019.999,699282.1383
113,113,1249965.043,696131.109,1250429.066,700378.1184,1121,8059.055118000001,112144,Primary Frac,1250398.897,698559.3603,1250579.259,700356.5356
116,116,1324842.937,641741.1452,1324233.165,637357.9041,1022,7220.472441,113918,Primary Frac,1324377.572,639314.6786,1324044.067,637399.1591
120,120,1075267.529,624922.4484,1074723.34,621035.2315,1030,9655.511811,115451,Primary Frac,1074790.596,622734.9537,1074451.452,621081.9825
121,121,1048874.908,698716.4711,1044445.718,699278.13,1213,7182.086614,106654,Primary Frac,1046274.533,699029.1081,1044466.601,699437.6953
122,122,1037765.561,695046.1211,1033196.761,695633.2848,1272,6953.740156999999,100746,Primary Frac,1035182.356,695463.3276,1033220.045,695798.9448
127,127,1086700.408,769624.6366,1091200.722,768942.6345,1121,8166.338583,103514,Primary Frac,1089223.258,769142.9471,1091171.47,768778.6067
128,128,1086977.371,770569.2059,1091433.395,770265.503,1121,8212.598425,103433,Primary Frac,1089471.693,770198.7042,1091341.74,769928.3835
129,129,1341023.962,634278.5195,1340865.066,629700.0591,1349,7093.503937,101239,Primary Frac,1340841.018,631798.48,1340700.1409999998,629711.6955
130,130,1136691.725,750118.1053,1132006.804,750797.1093,1121,7911.417323000001,117247,Primary Frac,1133974.784,750628.1426,1132028.471,750982.5401
132,132,1097656.621,697903.8652,1102381.965,697380.068,1028,7896.653543,114074,Primary Frac,1100560.446,697464.5161,1102362.322,697197.5454
133,133,1081796.905,770340.2125,1086037.501,769692.8147,1030,8165.354331,106613,Primary Frac,1084244.814,769920.577,1086010.736,769540.22
134,134,1339618.634,634376.2937,1339212.071,629814.2714,1349,7069.881890000001,109198,Primary Frac,1339298.618,631882.6725,1338994.608,629826.1558
135,135,1044488.781,689318.1668,1045339.06,693907.5708,1213,6972.440945,108538,Primary Frac,1045156.307,691963.6529,1045668.872,693835.0138
136,136,1069972.702,643003.0861,1063276.88,643984.9674,1121,6121.062992,117853,Primary Frac,1066439.346,643779.7138,1063362.65,644463.6754
137,137,1321637.009,589325.8319,1321031.818,585187.4896,1022,6320.866142,116540,Primary Frac,1321258.389,586962.4103,1320938.669,585216.012
138,138,1320152.231,589823.5574,1319375.781,585330.8049,1022,6341.535433,112027,Primary Frac,1320025.981,587240.2266,1319873.643,585290.295
139,139,1322562.142,595701.4498,1323095.445,599477.7925,1022,6465.551181,107706,Primary Frac,1323070.611,597948.3765,1323365.208,599465.5369
140,140,1327756.805,620842.8986,1328214.625,625439.2464,1008,6966.535433,110723,Primary Frac,1328036.144,623470.0676,1328375.4640000002,625417.3903
141,141,1329557.769,620528.3655,1330826.546,625061.9739,1008,6947.834645999999,113214,Primary Frac,1330631.0359999998,623004.6896,1330989.677,625012.4389
142,142,1032605.64,609634.3923,1032773.997,605623.8542,1349,9322.834646,104263,Primary Frac,1032325.326,607505.7238,1032253.003,605656.7422
144,144,1070185.296,728035.0435,1074705.362,727337.2453,1316,8170.275591,112580,Primary Frac,1072680.837,727556.5746,1074676.889,727174.4802
145,145,991852.0495,568502.3375,988798.0332,568886.1627,1213,7487.204723999999,103321,Primary Frac,990081.453,568876.9119,988832.5509,569106.6915
148,148,1313253.89,585476.5465,1312835.962,580966.6116,1008,6129.92126,110042,Primary Frac,1312883.514,582896.4807,1312594.773,580954.9276
149,149,1032688.494,690067.1643,1032077.626,685811.1774,1213,6953.740156999999,116654,Primary Frac,1032248.434,687717.6203,1031922.603,685838.3684
150,150,1049275.003,704977.6574,1045325.168,705652.9189,1272,7619.094488,103098,Primary Frac,1047034.778,705576.4094,1045416.399,706005.6783
152,152,1329495.178,625058.8385,1328870.843,620687.8843,1008,6913.385826999999,117106,Primary Frac,1329038.62,622529.5611,1328714.591,620715.7211
153,153,1116815.924,761272.7197,1114856.655,761554.037,1030,7959.645668999999,112754,Primary Frac,1115289.802,761493.9964,1114195.66,761315.4372
154,154,1350153.77,643796.913,1350240.204,639066.5658,1121,7201.771654000001,116503,Primary Frac,1350031.601,641066.254,1349904.689,639032.9131
155,155,1319968.978,601702.8626,1319006.36,596032.8209,1343,6457.677165,114438,Primary Frac,1319303.991,598573.8638,1318778.252,596100.5476
156,156,1035048.214,669300.5235,1035733.499,673861.2305,1121,6580.708661,106577,Primary Frac,1035514.54,671913.5205,1035930.239,673886.6414
158,158,1039104.83,610419.7541,1037147.012,610710.3109,1349,3017.716535,100182,Primary Frac,1038036.126,610654.2018,1037172.573,610804.792
159,159,1121827.4009999998,700949.9779,1123377.241,696376.5679,1272,6676.1811020000005,116013,Primary Frac,1122942.422,698303.5187,1123210.186,696323.3181
160,160,1266292.787,562887.4078,1266538.485,565613.6221,1323,2615.15748,108064,Primary Frac,1266649.682,564728.495,1266733.472,565588.3869
161,161,1345590.554,634149.1288,1344962.844,630617.584,1229,7099.409449,112143,Primary Frac,1345086.968,631995.6661,1344834.3280000002,630644.6553
163,163,1064099.513,723498.1355,1068506.555,722704.7425,1316,7799.941175,101706,Primary Frac,1066524.37,722872.9657,1068491.702,722390.6479
164,164,1100742.625,658995.2760000001,1099919.125,654672.3609,1213,6974.409449,104637,Primary Frac,1100043.686,656505.822,1099609.962,654744.4751
165,165,1316130.284,579848.7579999999,1315764.127,575257.6364,1229,6008.858268,104470,Primary Frac,1315953.383,577294.0376,1315604.284,575345.9894
166,166,1093383.159,709141.0332,1088836.551,709834.3022,1316,7830.708661,116204,Primary Frac,1090680.687,709645.6995,1088865.798,709996.9579
167,167,1035407.092,747451.2662,1039876.602,746786.9759,1316,8389.76378,102929,Primary Frac,1037983.214,747007.6334,1039857.606,746594.8509
168,168,1076152.168,733500.3039,1077194.416,733284.3715,1316,9000.0,104882,Primary Frac,1079050.078,732818.5109,1080791.389,732360.3318
169,169,1014891.017,686900.2554,1010707.046,687659.5513,1213,6932.086614,111696,Primary Frac,1012425.757,687394.8696,1010755.804,687655.135
170,170,1343888.131,634407.0529,1343451.024,629527.5245,1121,7134.84252,100507,Primary Frac,1343538.236,631560.3301,1343274.896,629549.0656
171,171,1314033.841,595884.8167,1314150.778,591476.1101,1121,6458.661417,108121,Primary Frac,1314055.243,593428.9128,1313991.8,591475.566
172,172,1098196.758,737392.3599,1102781.199,736477.33,1030,7822.834645999999,113927,Primary Frac,1100734.023,736794.5043,1102702.502,736148.5466
174,174,1327001.193,605859.6664,1327954.513,609659.9282,1022,6737.204723999999,108591,Primary Frac,1327674.728,608023.3661,1328090.476,609621.6399
175,175,1028750.173,664879.7487,1033291.357,664253.7754,1213,6625.984252,104617,Primary Frac,1031246.617,664375.0377,1033206.487,663901.585
176,176,1268254.866,718902.2908,1263700.621,719678.8838,1213,7993.110235999999,101530,Primary Frac,1265641.295,719398.7624,1263733.204,719844.333
177,177,1268097.425,717482.4346,1263536.345,718135.4412,1213,8005.905512,111302,Primary Frac,1265501.595,718023.0137,1263598.207,718462.5643
178,178,1267610.509,714596.0761,1263048.687,715320.3095,1213,8102.362204999999,111232,Primary Frac,1265063.467,715096.2206,1263082.052,715485.5861
179,179,1092417.872,734667.4028,1096983.374,733621.1933,1316,8466.535433,105820,Primary Frac,1094901.709,733975.1008,1096873.87,733435.2557
180,180,1071451.096,679515.0069,1070669.767,674935.161,1213,6816.929134,100289,Primary Frac,1070966.117,676896.1461,1070662.005,674930.1985
181,181,1121865.174,700957.0465,1127579.5359999998,700458.9217,1272,6698.818898,116013,Primary Frac,1125164.323,700766.3509,1127632.571,700535.6856
182,182,1121777.6,700910.2978,1127397.181,699161.7734,1272,6700.787402,116013,Primary Frac,1124250.049,699579.175,1126310.162,699141.2655
183,183,1275798.645,654205.7007,1275336.378,649701.6442,1121,7663.385826999999,109397,Primary Frac,1275410.105,651612.1078,1275176.973,649723.557
184,184,1127544.136,744684.2551,1130371.818,744306.2089,1030,7724.409449,115509,Primary Frac,1129287.451,744406.9801,1130356.616,744203.1057
185,185,1139231.655,733114.8551,1138719.914,729621.6743,1316,10391.73228,102737,Primary Frac,1139317.972,733704.0554,1139335.077,733820.8198
186,186,1028565.027,610057.7263,1028565.027,610057.7263,1349,9356.299213,108945,Primary Frac,1027719.932,607893.1347,1027449.193,606366.9304
187,187,1156042.259,732642.455,1163092.906,731617.3831,1121,7570.866142,112489,Primary Frac,1159896.116,731799.1772,1162996.496,731110.3068
188,188,1156275.188,734177.8183,1163441.847,733166.8383,1121,7558.070866,101721,Primary Frac,1160151.087,733341.1534,1163347.902,732650.9733
189,189,1323109.9009999998,590516.7232,1323657.733,594712.6117,1030,6464.566929,108116,Primary Frac,1323483.012,592960.4324,1323808.725,594689.6334
190,190,1118008.256,705715.4622,1118620.922,710160.6324,1272,6937.007874,103624,Primary Frac,1118447.9009999998,708456.9613,1118781.465,710135.9464
191,191,1219134.8490000002,634100.4086,1214299.26,634733.5181,1343,8837.598425,114335,Primary Frac,1216413.328,634561.7667,1214326.472,634904.6475
193,193,1235354.81,649709.7037,1236021.84,654133.8483,1121,7041.338583,112883,Primary Frac,1235822.39,652195.4861,1236179.913,654103.5839
195,195,1234132.022,507902.2053,1236060.993,507663.5652,1121,2550.19685,112372,Primary Frac,1235371.697,507722.8832,1236050.305,507591.6439
197,197,1325903.307,620476.3628,1325292.701,616379.1085,1008,6799.212598,105399,Primary Frac,1325460.025,618078.6569,1325146.806,616407.418
198,198,1283551.7859999998,653170.7868,1282922.265,648576.6975,1121,7310.03937,112430,Primary Frac,1283132.186,650657.4145,1282808.405,648662.5285
199,199,1281133.683,653590.3994,1280551.774,648917.7436,1121,7463.582676999999,109792,Primary Frac,1280726.92,650948.5079999999,1280340.262,649031.7456
200,200,1282185.369,653437.2158,1281911.663,648785.9977,1121,7406.496063,101482,Primary Frac,1281977.678,650834.9946,1281740.712,648799.8501
201,201,1318210.389,595472.1471,1317552.132,590962.386,1030,6422.244094,114267,Primary Frac,1317732.247,592800.1912,1317378.052,590959.5641
202,202,1006006.73,661941.1199,1005216.405,657375.8694,1213,6474.409449,104775,Primary Frac,1005431.252,659297.1415,1005053.473,657409.373
204,204,1316360.738,585246.8235,1316193.443,580689.6347,1229,6188.976378,100901,Primary Frac,1316435.279,582856.8533,1316031.969,580827.1452
205,205,1009849.897,661342.9566,1009157.344,656767.5138,1213,7554.133858,102914,Primary Frac,1009261.555,658755.5746,1008794.719,656825.0958
206,206,1008820.345,661545.2901,1007820.965,656956.8223,1213,7551.181102,109155,Primary Frac,1008029.252,658974.286,1007492.186,657041.8624
207,207,1007318.3,661758.2747,1006552.78,657186.5595,1213,6466.535433,100004,Primary Frac,1006748.482,659229.8425,1006234.085,657252.6028
208,208,1252256.94,694784.541,1251499.225,690331.2901,1030,8651.574803,110804,Primary Frac,1251785.815,692257.6959,1251337.0890000002,690360.7691
210,210,1062895.29,722357.8989,1062286.802,716384.8128,1213,7871.062992,105553,Primary Frac,1062289.572,719077.3249,1061878.067,716429.6817
212,212,1324318.9,625992.7041,1323844.3390000002,622728.8274,1008,6887.795276000001,111847,Primary Frac,1323976.848,624098.9725,1323727.895,622751.8266
213,213,1236784.838,722384.6752,1234832.7140000002,722641.9457,1213,9064.96063,112271,Primary Frac,1235559.462,722598.9814,1234846.889,722742.4189
214,214,1137695.379,731183.3177,1138159.95,724312.9524,1316,7156.496063,101473,Primary Frac,1138277.254,727476.5574,1137908.695,724302.6325
215,215,1133466.456,732143.4811,1131512.606,725277.6184,1316,7163.385826999999,102121,Primary Frac,1131849.521,728779.3461,1131265.203,725354.2027
216,216,1133538.482,732133.0811,1132862.252,725076.7819,1316,7164.370079,102121,Primary Frac,1133002.775,728318.2277,1132605.603,725108.292
217,217,1314031.639,590813.6185,1313348.093,586275.9288,1121,6252.952756000001,103273,Primary Frac,1313112.326,588326.8314,1312961.102,586372.6129
218,218,1209559.946,530746.4983,1205047.955,531089.6774,1213,2659.448819,111921,Primary Frac,1207035.56,531134.4724,1205086.451,531410.6436
219,219,1209419.51,529310.7572,1204848.2859999998,529888.9824,1213,2657.480315,107445,Primary Frac,1206810.167,529724.3275,1204872.233,530052.0995
220,220,1066309.097,709325.4329,1062089.531,709940.0583,1028,5376.968504,116137,Primary Frac,1063725.383,710016.6249,1061968.657,710388.8777
221,221,1060148.547,719947.5484,1059650.277,716735.3445,1213,7804.133858,108573,Primary Frac,1059600.833,718022.4824,1059364.769,716811.2787
223,223,1131736.804,733913.39,1130052.57,733732.1102,1316,7208.661417,108615,Primary Frac,1127941.332,733504.8706,1123650.509,733043.0348
224,224,1131811.547,733896.3514,1130214.779,725455.3768,1316,7185.03937,108615,Primary Frac,1130783.334,729415.695,1129910.977,725522.3245
225,225,1312741.433,661816.8437,1313200.889,664795.8353,1213,4605.314961,107110,Primary Frac,1313142.864,663677.9237,1313306.837,664775.429
226,226,1295349.529,710399.8039,1294321.815,705369.6834,1008,3909.448819,106748,Primary Frac,1294444.758,707656.2323,1294011.352,705741.302
228,228,1103043.7240000002,686386.2182,1103624.097,689391.7077,1028,7662.401575,109079,Primary Frac,1103526.728,688473.1408,1103731.071,689368.946
229,229,1310674.802,669878.7226,1310354.518,668592.9609,1216,4660.433071,117200,Primary Frac,1310500.358,669064.9407,1310304.313,668612.7091
230,230,1263525.01,688532.1538,1263826.733,693061.7891,1349,8641.732283,113874,Primary Frac,1263735.083,690774.4594,1264156.319,692955.3909
231,231,1092106.135,767835.8081,1091345.202,763329.4165,1121,8181.102362,115523,Primary Frac,1091569.717,765277.9263,1091199.762,763355.1745
232,232,1093413.156,767645.9443,1092684.608,763160.0357,1121,8202.755906,109370,Primary Frac,1093127.7759999998,765052.5236,1092522.535,763189.9395
233,233,1100435.173,691406.1996,1099315.414,686890.9546,1028,7580.708661,114527,Primary Frac,1100109.986,690094.9375,1099650.84,688243.5039
235,235,1111652.553,692558.3682,1108182.722,695228.3186,1030,6596.456693,100750,Primary Frac,1106881.672,697307.7906,1105519.356,697595.5582
236,236,1042597.775,686291.0419,1047151.88,685497.4678,1213,6824.80315,112066,Primary Frac,1045124.389,685715.7853,1047119.816,685332.9061
237,237,1043022.736,686899.8272,1047280.019,686395.6035,1213,6858.267717000001,106212,Primary Frac,1045360.354,686635.0082,1047255.893,686243.6365
238,238,1054330.049,730296.3491,1058841.073,729102.5138,1316,8230.314961,108055,Primary Frac,1056670.297,729404.4321,1058708.2759999998,728730.1466
239,239,1237006.3490000002,644395.9186,1241588.183,644070.6748,1349,7847.440945,114575,Primary Frac,1239517.623,644161.3315,1241587.815,643886.1073
240,240,1072053.443,708757.8178,1067326.301,709370.2461,1028,5394.685039,101575,Primary Frac,1069322.419,709176.5933,1067352.928,709537.1187
241,241,1048594.805,617085.8789,1053333.33,616216.2173,1349,7007.874016,109581,Primary Frac,1051281.567,616535.9997,1053256.127,615879.0017
242,242,1321821.406,611496.0779,1322155.855,616113.5829,1008,6743.110236,106293,Primary Frac,1321951.079,614089.6626,1322328.263,616045.7746
243,243,1315217.733,595469.5848,1314872.067,591377.5065,1030,6441.929134,113316,Primary Frac,1315416.492,592961.5495,1314644.852,591200.4888
244,244,1314595.618,585476.796,1313798.598,580859.0932,1229,6227.362204999999,102380,Primary Frac,1314300.905,583769.3113,1313935.854,581654.316
245,245,1085491.819,765960.9493,1080906.159,766536.0229999999,1030,8154.527559,115481,Primary Frac,1083963.087,766152.663,1081950.557,766405.0482
246,246,1090923.95,688199.5807,1092101.418,692501.5438,1121,7659.448819,117663,Primary Frac,1091750.215,690523.7454,1092251.279,692452.9079999999
247,247,1085277.943,764538.2211,1080697.503,765199.8926,1030,8146.653543,112616,Primary Frac,1082643.434,765065.61,1080729.628,765331.9073
249,249,1038080.871,652604.588,1038655.238,657305.426,1213,6456.692913,111052,Primary Frac,1038520.311,655403.2883,1038827.505,657281.5177
251,251,1016425.135,660473.2176,1015742.635,655890.9902,1213,6441.929134,111671,Primary Frac,1015937.864,657864.667,1015578.554,655919.4851
252,252,1016521.408,661126.2064,1012251.752,661800.5761,1213,6613.188976,111537,Primary Frac,1014061.401,661724.1907,1012310.967,662106.5514
253,253,1017933.779,671100.8039,1017319.831,666468.166,1213,6512.795276,108172,Primary Frac,1017694.063,669291.9920000001,1017397.888,667057.1592
254,254,1019273.269,671398.69,1019954.144,675902.7089,1213,6737.204723999999,115319,Primary Frac,1019712.524,673933.7537,1020116.706,675873.3859
255,255,1017967.523,671596.7935,1018681.053,676252.8415,1213,6768.700787000001,112384,Primary Frac,1018510.868,674100.5029,1018964.304,676002.1545
256,256,1307622.127,596634.6085,1307454.819,592373.738,1030,6458.661417,103477,Primary Frac,1307461.115,594191.4877,1307305.996,592417.5277
257,257,1017702.808,660232.5846,1016883.459,655669.9193,1213,10761.81102,111401,Primary Frac,1017792.989,660734.7710000001,1017806.914,660812.3113
258,258,1085804.62,768241.5837,1081277.075,769064.9306,1030,7423.228345999999,115045,Primary Frac,1083906.774,768586.7124,1081518.909,769020.9524
