,Unnamed: 0,surface_x,surface_y,bh_x,bh_y,standardized_operator_name,gross_perforated_length,number_of_stages,total_proppant,total_fluid,true_vertical_depth,ffs_frac_type,proppant_intensity,frac_fluid_intensity,average_stage_length,average_proppant_per_stage,average_frac_fluid_per_stage,proppant_to_frac_fluid_ratio,frac_fluid_to_proppant_ratio,bin_lateral_length,pad_id,relative_well_position,batch_frac_classification,well_family_relationship,frac_type,frac_seasoning,horizontal_midpoint_x,horizontal_midpoint_y,horizontal_toe_x,horizontal_toe_y,OilPeakRate
639,639,1039197.596,773499.1035,1043890.182,773434.3759,1030,4513.779528,11.0,310908.4286,1352886.709,8862.204724,Slickwater Crosslink Hybrid,68.87984375,299.7237019,410.3435934,28264.4026,122989.7009,0.2298111339999999,4.351399271,1.0,106087,Standalone Well,Batch-Sequential Frac,Standalone Well,Primary Frac,39.0,1041699.588,773889.05,1043812.585,773322.8748,143.0551809
640,640,1039190.473,773450.0471,1043704.827,772841.5001,1030,4170.275591,10.0,279650.4286,1242989.478,8416.338583,Slickwater Crosslink Hybrid,67.05802111,298.0593131,417.0275591,27965.04286,124298.9478,0.224982137,4.444797329,1.0,106087,Inner Well,Batch-Sequential Frac,Infill Child Well,Primary Frac,39.0,1041698.503,772909.3208,1043742.921,772494.4554,119.90359
645,645,1273162.315,663213.4584,1274014.477,668451.5852,1121,3981.299213,11.0,191731.4286,606995.5939,8126.968504,Crosslink Only,48.15800529999999,152.4616869,361.9362921,17430.129869999997,55181.41763,0.315869556,3.1658638260000003,1.0,112513,Inner Well,Non-Batch Frac,Infill Child Well,Primary Frac,19.0,1273782.3490000002,665763.2034,1274225.622,667681.4314,97.14564996
646,646,1035981.708,756308.6858,1031506.444,757695.1003,1121,4017.716535,21.0,378135.9286,1685671.761,8570.866142,Slickwater Only,94.1171248,419.5596543,191.319835,18006.47279,80270.08385,0.224323583,4.457846064,1.0,111295,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,45.0,1033585.068,757571.054,1031637.356,758003.5884,153.6837539
722,722,1251422.889,712987.1126,1246859.0890000002,713645.8014,1030,4372.047243999999,10.0,93485.71429,910223.248,8970.472441,Slickwater Linear Hybrid,21.38259471,208.1915398,437.2047244,9348.571429,91022.3248,0.102706357,9.736495624,1.0,111111,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,23.0,1248905.784,713492.9538,1246892.461,713963.3314,145.8214511
752,752,1235253.926,649724.0691,1235938.117,654578.1093,1121,4238.188976,11.0,194110.0,647822.6003,7931.102362,Crosslink Only,45.80022294,152.8536372,385.2899069,17646.36364,58892.96366,0.299634499,3.337399414,1.0,112883,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,26.0,1235883.9009999998,652604.4967,1236283.241,654483.1799,261.30956430000003
771,771,1262074.346,672675.0478,1263280.944,677273.6669,1343,4132.874016,20.0,139464.2857,3646375.564,8253.937007999999,Slickwater Crosslink Hybrid,33.74510938,882.2856807000001,206.6437008,6973.214286,182318.7782,0.038247373,26.14558663,1.0,109118,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,10.0,1263277.045,674978.5182,1263569.134,677073.6845,335.4889408
802,802,1058835.575,765919.9328,1054248.989,766563.3883,1030,3997.047244,15.0,207338.5714,1374478.2130000002,8945.866142,Slickwater Crosslink Hybrid,51.87293489,343.87339669999994,266.4698163,13822.571430000002,91631.88085,0.150848933,6.629148659,1.0,112197,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,29.0,1056284.616,766467.7947,1054324.529,766889.9528,125.4166861
892,892,1331033.435,604659.7395,1331722.147,609473.7072,1025,3330.708661,17.0,175252.9286,986776.6527,6500.984252,Slickwater Crosslink Hybrid,52.61730952,296.2662763,195.9240389,10308.9958,58045.68545,0.1776014139999999,5.63058581,1.0,113706,Inner Well,Batch-Sequential Frac,Sibling Well,Primary Frac,26.0,1331621.635,607396.6285,1332068.095,609408.1022,167.17859730000004
1059,1059,1230902.152,639674.7954,1230327.308,634643.0867,1030,4533.464567,10.0,220525.2857,1026414.587,6721.456693000001,Slickwater Linear Hybrid,48.64387544,226.40842830000005,453.3464567,22052.52857,102641.4587,0.2148501089999999,4.654407698,1.0,100809,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,37.0,1230345.798,636737.8448,1229920.646,634681.1767,19.95317769
1080,1080,1314368.113,697010.1718,1315057.086,701660.7071,1018,4031.496063,14.0,178337.1429,1113664.8390000002,5246.062992,Slickwater Only,44.23597098,276.2410831,287.9640045,12738.36735,79547.4885,0.160135381,6.244716166,1.0,111438,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,156.0,1314957.054,699632.1903,1315392.663,701596.5585,57.58334225
1081,1081,1314432.96,697000.8256,1315115.166,701655.4327,1018,4037.401575,14.0,178015.6429,970015.9835,5788.385827,Slickwater Only,44.09163655,240.2574937,288.3858268,12715.40306,69286.85596,0.183518257,5.449049128,1.0,111438,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,93.0,1315020.163,699609.4511,1315451.28,701589.6551,77.7504372
1082,1082,1314494.204,696991.9988,1315183.176,701642.5168,1018,4072.834646,15.0,192820.0,1076940.167,6204.724409,Slickwater Only,47.34294828,264.4203019,271.5223097,12854.66667,71796.01111,0.179044302,5.585209868,1.0,111438,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,99.0,1315063.299,699600.9709,1315514.937,701579.6874,0.821428699
1084,1084,1314407.741,697004.4602,1313637.2240000002,691859.6482,1018,4592.519685,15.0,193271.4286,1070430.166,5500.0,Slickwater Only,42.08396302,233.0812362,306.167979,12884.7619,71362.01104,0.180554916,5.538481159,1.0,111438,Outer Well,Non-Batch Frac,Sibling Well,Primary Frac,175.0,1313797.872,694247.8485,1313269.132,691929.9442,109.5210487
1193,1193,1256269.172,678810.2898,1256944.081,683542.0002,1025,4141.732282999999,12.0,103958.7857,439487.068,8446.850394,Slickwater Crosslink Hybrid,25.10031518,106.1118967,345.144357,8663.232143000001,36623.92233,0.2365457219999999,4.227512518999999,1.0,114801,Outer Well,Batch-Sequential Frac,Sibling Well,Primary Frac,27.0,1256815.092,681404.6293,1257284.612,683445.1888,141.2922401
1194,1194,1257058.149,678697.1969,1257733.042,683428.7972,1025,3819.88189,12.0,115105.7143,439363.068,8486.220471999999,Slickwater Crosslink Hybrid,30.13331763,115.0200662,318.3234908,9592.142857,36613.589,0.261983136,3.817039586,1.0,102643,Outer Well,Batch-Sequential Frac,Sibling Well,Primary Frac,31.0,1257597.611,681329.7905,1258100.521,683335.1484,135.14009230000002
1213,1213,1312380.002,686188.7832,1312495.732,681621.2468,1018,3655.511811,14.0,177601.7857,1173536.182,4697.834646,Slickwater Only,48.58465651,321.0319764,261.10798650000004,12685.84184,83824.01297000001,0.151338994,6.607682332,1.0,110665,Outer Well,Batch-Sequential Frac,Sibling Well,Primary Frac,125.0,1312596.364,683634.0183,1312164.549,681626.5565,251.56749930000004
1214,1214,1312315.1509999998,686198.1085,1311652.665,681742.3640000001,1018,3479.3307090000003,14.0,175164.0,839790.13,5228.346457,Slickwater Only,50.34416521,241.3654235,248.523622,12511.71429,59985.00928,0.208580684,4.7943077910000005,1.0,110665,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,145.0,1311799.877,683732.3581,1311358.338,681800.9776,222.228209
1215,1215,1312225.082,686211.0602,1311591.417,681751.1631,1018,3516.732283,14.0,179137.7143,851508.1318,4698.818898,Slickwater Only,50.93868394,242.13049590000003,251.1951631,12795.55102,60822.00941,0.210376986,4.753371646000001,1.0,110665,Outer Well,Batch-Sequential Frac,Sibling Well,Primary Frac,138.0,1311684.344,683628.464,1311269.549,681809.7057,211.2305882
1228,1228,1254785.7140000002,683848.5813,1254281.103,680304.7838,1025,3517.716535,12.0,116918.2143,391421.5606,8526.574803,Slickwater Crosslink Hybrid,33.23696299,111.27149009999998,293.14304460000005,9743.184524,32618.46338,0.298701518,3.34782363,1.0,112115,Standalone Well,Batch-Sequential Frac,Standalone Well,Primary Frac,26.0,1254236.271,681260.4436,1253813.098,679408.6886,152.52875769999997
1236,1236,1093917.35,670952.1273,1098608.396,669956.1044,1343,3838.582677,10.0,196285.7143,902196.092,8233.267717,Slickwater Crosslink Hybrid,51.13494505,235.0336486,383.8582677,19628.57143,90219.6092,0.2175643589999999,4.59634108,1.0,109580,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,7.0,1096340.097,670143.1062,1098543.332,669706.6999,135.8690686
1245,1245,1314466.745,691516.7111,1315171.52,696307.6512,1018,4072.834646,15.0,193400.0,1058622.485,5673.228346,Slickwater Only,47.48535524,259.9227755,271.5223097,12893.33333,70574.83235,0.1826902439999999,5.4737460460000005,1.0,105087,Outer Well,Batch-Sequential Frac,Sibling Well,Primary Frac,82.0,1315077.683,694232.2945,1315517.777,696243.0476,115.1190654
1246,1246,1314495.566,691512.5619,1315506.565,696259.3686,1018,4821.850394,15.0,193702.1429,1170870.181,6154.527559,Slickwater Only,40.17174467,242.8259041,321.45669289999995,12913.47619,78058.01208,0.165434346,6.044694002999999,1.0,105087,Standalone Well,Batch-Sequential Frac,Standalone Well,Primary Frac,122.0,1315368.356,694051.8531,1315848.569,696172.1023,73.53890027
1273,1273,1173598.354,615954.3404,1173559.855,621276.8363,1030,4565.944882,11.0,282402.1429,540066.5836,6449.80315,Slickwater Crosslink Hybrid,61.84966095,118.2814505,415.0858984,25672.92208,49096.96214,0.522902456,1.912402569,1.0,106056,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,42.0,1173398.921,618813.11,1173944.436,621265.9523,150.3377217
1294,1294,1141509.157,733559.7961,1140122.168,729428.6351,1030,3737.204724,16.0,320962.1429,1376121.2130000002,10722.44094,Slickwater Linear Hybrid,85.88294368,368.2220575,233.5752953,20060.13393,86007.57581000001,0.233236825,4.287487617,1.0,108673,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,4.0,1140322.326,731273.7629999999,1139848.473,729543.0409,436.023877
1309,1309,1017078.755,661713.7983,1007179.882,663036.4147,1213,8825.787402,32.0,1031241.071,4571741.208000001,7817.913386,Crosslink Only,116.84408700000002,517.9981116,275.8058563,32226.28348,142866.9127,0.225568558,4.433241978,2.0,100914,Outer Well,Batch-Sequential Frac,Sibling Well,Primary Frac,35.0,1011806.226,662789.8513,1007301.064,663745.0185,554.0020699
1310,1310,1017258.737,662930.7767,1007373.092,664320.751,1213,8780.511811,31.0,1005011.0,4273800.161,7818.897637999999,Crosslink Only,114.4592732,486.737021,283.2423165,32419.70968,137864.5213,0.235156292,4.252490929,2.0,112726,Inner Well,Batch-Sequential Frac,Sibling Well,Primary Frac,33.0,1011969.374,664071.6441,1007499.038,665027.9239,374.5595818
1311,1311,1017402.627,663893.1054,1007492.125,665315.0676,1213,8943.897638,30.0,968730.5714,4126066.686,7816.929134,Undefined,108.3119028,461.3275837000001,298.1299213,32291.01905,137535.5562,0.234783062,4.259251032,2.0,107724,Inner Well,Batch-Sequential Frac,Infill Child Well,Primary Frac,20.0,1012189.597,665043.2976,1007626.063,666027.1995,414.329826
1323,1323,1316260.421,691152.9463,1316983.21,696043.4682,1018,4332.677165,15.0,193771.4286,1087635.168,5107.283465,Slickwater Only,44.72325566,251.0307431,288.8451444,12918.09524,72509.01122,0.17815848,5.612980078,1.0,114243,Standalone Well,Batch-Sequential Frac,Standalone Well,Primary Frac,90.0,1316860.946,693874.6007,1317335.794,695972.065,190.3095533
1324,1324,1316289.243,691148.7972,1317008.428,696039.834,1018,4332.677165,15.0,192185.7143,1074067.131,5679.133858,Slickwater Only,44.35726618,247.8991832,288.8451444,12812.38095,71604.47537,0.1789326839999999,5.588693907000001,1.0,114243,Standalone Well,Batch-Sequential Frac,Standalone Well,Primary Frac,103.0,1316910.801,693878.5585,1317346.59,695974.8396,180.1444723
1325,1325,1316318.064,691144.6479999999,1317047.619,696031.0821,1018,4332.677165,15.0,193323.5714,1128787.675,6092.519685,Slickwater Only,44.61988836,260.5289136,288.8451444,12888.2381,75252.51165,0.171266551,5.8388517570000005,1.0,114243,Standalone Well,Batch-Sequential Frac,Standalone Well,Primary Frac,147.0,1316906.075,693802.9747,1317397.192,695963.7253,105.5476354
1331,1331,1029196.061,671483.993,1034312.065,671075.7409,1213,4080.708661,15.0,494015.2143,2194195.84,8092.519684999999,Crosslink Only,121.0611331,537.6997041000001,272.0472441,32934.34762,146279.7226,0.225146364,4.441555191,1.0,115894,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,38.0,1032159.738,671031.1163,1034268.324,670706.9579,217.0119383
1339,1339,1018613.232,779338.728,1023086.308,778522.8325,1205,4183.070866,20.0,322714.1429,1825280.282,9322.834646,Slickwater Crosslink Hybrid,77.14766333,436.3493569,209.1535433,16135.70714,91264.01412,0.176802514,5.656028169,1.0,103394,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,64.0,1020950.885,778664.6783,1023004.691,778193.2444,71.84524921
1361,1361,1084867.542,712988.4613,1080945.813,718618.1658,1316,6408.464567,17.0,337026.1429,1754126.783,9708.661417,Slickwater Crosslink Hybrid,52.59077886,273.72029060000006,376.9685039,19825.06723,103183.9284,0.192133286,5.204720228999999,1.5,110610,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,38.0,1088621.55,712279.1966,1091737.071,711514.4603,110.8028743
1363,1363,1035024.056,712173.0403,1030284.671,713415.9997,1343,3735.23622,11.0,118950.9286,935557.6329,8876.968504,Slickwater Only,31.84562409,250.4681304,339.56692910000004,10813.72078,85050.6939,0.127144416,7.865072127999999,1.0,100938,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,24.0,1032306.794,713139.7722,1030386.705,713756.3302,140.5833551
1364,1364,1243316.607,574198.1997,1242464.468,569507.098,1213,4049.212598,10.0,213614.7857,863874.9194,5766.732282999999,Undefined,52.7546481,213.3439276,404.9212598,21361.47857,86387.49193999999,0.247275133,4.0440783,1.0,106662,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,56.0,1242634.7859999998,571555.4689,1242119.94,569588.6299,14.63889115
1371,1371,1084892.395,712956.766,1089679.713,707001.1658,1316,5255.905511999999,14.0,292076.7857,1207842.854,9712.598425,Slickwater Crosslink Hybrid,55.57116372,229.8068051,375.4218223,20862.62755,86274.48954,0.241816876,4.135360675,1.0,110610,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,27.0,1081796.328,713616.8631,1079347.577,714296.0792,97.1871579
1375,1375,1092734.213,662922.2086,1097512.433,662280.2833,1343,4174.212598,31.0,784410.7143,4241764.609,10376.9685,Slickwater Only,187.918247,1016.183174,134.6520193,25303.57143,136831.1164,0.184925564,5.407581171,1.0,110149,Outer Well,Non-Batch Frac,Sibling Well,Primary Frac,10.0,1095525.258,662348.33,1097450.7,661938.1099,216.7619383
1398,1398,1065745.826,736408.0905,1070933.903,735703.5912,1316,4752.952756000001,42.0,240819.6429,910181.5456,10325.7874,Slickwater Crosslink Hybrid,50.66737568,191.498126,113.1655418,5733.80102,21670.98918,0.264584185,3.779515387,1.0,115040,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,20.0,1068688.958,735805.4629,1070961.236,735316.9772,82.36739370000001
1422,1422,1010030.334,646630.6463,1004720.161,647040.0965,1343,4496.062992,30.0,292625.0893,1792193.6819999998,9932.086614,Slickwater Only,65.08473965,398.6140064,149.8687664,9754.169643,59739.7894,0.163277603,6.124538694,1.0,117877,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,36.0,1006839.567,647224.8938,1004723.2,647376.5374,93.48810971
1437,1437,1265550.233,693336.2159999999,1264590.946,688478.4988,1030,4292.322835,10.0,181275.1429,808557.6251,8615.15748,Slickwater Crosslink Hybrid,42.23241118,188.3729757,429.2322835,18127.51429,80855.76251,0.2241957,4.460388845,1.0,102722,Inner Well,Batch-Sequential Frac,Infill Child Well,Primary Frac,54.0,1264778.945,690837.3571,1264264.323,688564.7918,221.7262248
1444,1444,1185616.906,662694.745,1190806.612,662664.952,1213,4633.858268,15.0,464507.0714,2077228.393,8433.070866,Undefined,100.2419678,448.2718877,308.92388450000004,30967.1381,138481.8929,0.22361868,4.471898321,1.0,101678,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,35.0,1188494.666,662535.6469,1190791.187,662291.3398,73.05953512
1448,1448,1267210.469,693221.7996,1265826.611,688300.9809999999,1030,4248.0314960000005,10.0,183312.0,648768.1004,8643.700787,Slickwater Crosslink Hybrid,43.15222243,152.7220551,424.8031496,18331.2,64876.81004,0.282553966,3.5391469210000004,1.0,104931,Outer Well,Batch-Sequential Frac,Sibling Well,Primary Frac,74.0,1265970.063,690510.8877,1265514.35,688413.646,213.7500331
1456,1456,1232972.399,696294.2495,1228353.822,696622.1085,1213,3963.582677,14.0,444839.6429,1940878.562,8758.858268,Crosslink Only,112.2317053,489.6778295,283.1130484,31774.2602,138634.18300000002,0.22919499,4.363097115,1.0,103964,Outer Well,Batch-Sequential Frac,Sibling Well,Primary Frac,36.0,1230331.898,696652.4913,1228390.502,696953.1225,140.9885139
1457,1457,1257025.2340000002,700044.2798,1257879.538,704647.8425,1213,4254.92126,15.0,489805.0,2243672.954,8747.047244,Crosslink Only,115.1149387,527.3124501,283.6614173,32653.66667,149578.197,0.2183049889999999,4.580747347,1.0,111376,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,34.0,1257705.94,702591.2335,1258210.644,704559.7563,102.34525390000002
1482,1482,1258681.602,699392.2557,1257737.124,694668.1421,1213,4145.669290999999,14.0,450262.8571,1926014.798,8676.181102,Crosslink Only,108.6104138,464.5847661,296.1192351,32161.63265,137572.4856,0.2337795419999999,4.277534261,1.0,110674,Outer Well,Batch-Sequential Frac,Infill Child Well,Primary Frac,25.0,1257961.834,696757.7509,1257399.35,694748.4968,210.8452707
1486,1486,1097123.08,767925.8851,1101661.829,767178.9567,1213,4083.661417,23.0,411006.0,1794864.48,8164.370079,Undefined,100.646444,439.5233338000001,177.5504964,17869.826090000002,78037.58609,0.22898999,4.36700311,1.0,117574,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,41.0,1099677.7240000002,767322.2351,1101596.121,766852.2403,166.3333591
1487,1487,1043770.556,619774.6569,1048465.359,619717.3176,1349,4607.283465,15.0,359621.6429,1029265.85,7079.724409,Crosslink Only,78.05502866,223.399723,307.15223100000003,23974.77619,68617.72332,0.349396264,2.862079828,1.0,104035,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,21.0,1046433.061,619612.3609,1048449.355,619381.738,407.4286345
1489,1489,1024221.062,632532.8449,1028780.981,631648.9981,1349,4498.0314960000005,15.0,358320.2143,1187121.565,7362.204723999999,Crosslink Only,79.66156186,263.92024280000004,299.8687664,23888.01429,79141.43764,0.301839529,3.313018684,1.0,100568,Outer Well,Non-Batch Frac,Sibling Well,Primary Frac,14.0,1026818.773,631830.8286,1028706.701,631324.3441,125.7262099
1490,1490,1010030.334,646630.6463,1004694.736,646912.2113,1343,4348.425197,20.0,153035.7143,513947.6033,7449.80315,Slickwater Crosslink Hybrid,35.19336481,118.1916625,217.42125980000003,7651.785714,25697.38017,0.297765207,3.358350734,1.0,117877,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,4.0,1006939.16,647045.1688,1004747.192,647393.4806,197.1309829
1493,1493,1054704.728,736620.936,1047300.184,737707.3673,1316,6663.385827,22.0,211792.2143,835899.2603,9724.409449,Crosslink Only,31.78447411,125.4466246,302.8811739,9626.918831,37995.42092,0.253370501,3.946789372,1.5,117085,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,31.0,1050635.185,737515.1463,1047425.299,738235.3382,98.93651531
1500,1500,1028456.0,663817.0463,1033127.313,663175.8772,1213,3956.692913,13.0,438687.4286,1720019.7659999998,7918.307087,Crosslink Only,110.8722456,434.7114633000001,304.3609933,33745.18681,132309.2128,0.2550479,3.920832133,1.0,101071,Outer Well,Batch-Concurrent Frac,Sibling Well,Primary Frac,12.0,1031081.304,663245.0341,1033050.463,662867.756,157.9047863
1505,1505,1060590.727,662931.7426,1065320.366,662259.8857,1213,4268.700787,11.0,232949.1429,1111799.672,7978.346457,Undefined,54.57143858,260.4538775,388.0637079,21177.19481,101072.6975,0.209524385,4.772714157,1.0,113631,Inner Well,Non-Batch Frac,Infill Child Well,Primary Frac,18.0,1063247.794,662548.1601,1065320.414,662188.6447,134.9166875
1512,1512,1054293.667,618472.0229999999,1058900.542,617789.3596,1349,4522.637795000001,15.0,359812.2143,1211238.461,7234.251969,Slickwater Crosslink Hybrid,79.55804346,267.8168176,301.5091864,23987.48095,80749.23075,0.297061418,3.366307238,1.0,104970,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,37.0,1056819.509,617904.5428,1058837.694,617461.2024,203.6747764
1518,1518,1093263.26,666641.5595,1098070.393,666151.1241,1343,4425.19685,30.0,393875.0,1782500.2759999998,10383.85827,Slickwater Only,89.00733986,402.8070018,147.5065617,13129.16667,59416.67586,0.220967708,4.525548146,1.0,116467,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,6.0,1095923.616,666080.1772,1098019.365,665806.8822,123.6678763
1522,1522,1029170.639,671434.4157,1019238.748,672965.3748,1213,9254.92126,32.0,1029627.714,4468759.192,7926.181102,Crosslink Only,111.2519151,482.8522109000001,289.2162894,32175.86607,139648.7247,0.230405728,4.340169878,2.0,115894,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,46.0,1023813.888,672682.707,1019377.097,673676.4781,276.1786142
1523,1523,1022191.098,675740.9546,1014387.251,676757.2812,1213,7116.141731999999,24.0,774914.5714,3368166.021,8071.850394,Undefined,108.8953257,473.31351,296.50590550000004,32288.10714,140340.2509,0.230070183,4.346499789,1.5,103885,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,45.0,1017964.183,676619.0164,1014476.151,677315.9233,242.10718030000004
1524,1524,1021554.396,671522.0079999999,1013831.493,672719.9243,1213,6808.070866,25.0,772782.5,3286620.509,7937.007874,Undefined,113.5097615,482.753569,272.3228346,30911.3,131464.8203,0.235129823,4.252969637,1.5,109612,Inner Well,Batch-Sequential Frac,Infill Child Well,Primary Frac,11.0,1017425.247,672432.1245,1013940.275,673272.1313,271.668296
1552,1552,1048776.018,618060.654,1053517.669,617631.095,1349,4540.3543310000005,14.0,328318.8571,595610.1041,7007.874016,Slickwater Crosslink Hybrid,72.31128525,131.18141459999998,324.3110236,23451.34694,42543.57886,0.551231174,1.814120911,1.0,112167,Outer Well,Non-Batch Frac,Infill Child Well,Primary Frac,15.0,1051465.217,617619.5187,1053473.836,617291.9084,440.0834014
1554,1554,1233123.0259999998,697265.2006,1228546.354,697935.7172,1213,4050.19685,14.0,456106.7143,2007478.013,8820.866142,Undefined,112.6134682,495.6494924,289.299775,32579.05102,143391.2866,0.22720384,4.401334052,1.0,117191,Inner Well,Batch-Sequential Frac,Infill Child Well,Primary Frac,49.0,1230473.963,697820.4662,1228611.96,698244.5654,259.182183
1564,1564,1093084.689,665386.4764,1097881.586,664875.8178,1343,4314.96063,15.0,460982.1429,1979854.425,8134.84252,Slickwater Only,106.8334528,458.834876,287.664042,30732.142860000004,131990.295,0.232836383,4.29486143,1.0,100446,Standalone Well,Non-Batch Frac,Standalone Well,Primary Frac,14.0,1095852.326,664887.9682,1097831.954,664533.0562,152.9766247
